No,Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL
1,Gradient/Soft,MeshGradient — flagship ambient background,"Flowing multi-point mesh gradient (@paper-design/shaders-react). Color slots: colors[] only — no colorBack. Animated (speed). Viewport-exit and hidden-tab pause are built into the library. GPU cost: unmeasured — measure in pilot, do not guess.","Inject brand tokens into colors[] following refero-craft color.md §8 Gradients; honor prefers-reduced-motion with speed={0} (library does not handle it); for screenshot regression pin speed={0} frame={120} for a deterministic render","Don't ship the default palette — indigo/violet defaults are exactly anti-ai-slop #1; don't run high-contrast motion behind long-form text without an overlay","<MeshGradient colors={['#0E4F4A','#F4EDE4','#D9A441']} speed={0.4} style={{position:'absolute',inset:0}} />","<MeshGradient /> // default violet palette + untamed motion behind text = AI slop",High,https://shaders.paper.design/
2,Gradient/Soft,StaticMeshGradient — deterministic mesh,"Frozen mesh gradient. Color slots: colors[]. Static — a speed prop exists but the shader has no u_time uniform (it ignores time entirely) and every preset ships speed: 0. Output is deterministic without extra work. GPU cost: unmeasured.","Use as the safe default for text-heavy sections and for users with prefers-reduced-motion; brand tokens in colors[]","Don't raise speed hoping for motion — the shader ignores time (no u_time), so a non-zero speed only burns a RAF loop; if you need motion use MeshGradient instead","<StaticMeshGradient colors={['#101014','#2A2A35','#D9A441']} style={{position:'absolute',inset:0}} />","<StaticMeshGradient speed={1.2} /> // hidden motion in a component named Static",Medium,https://shaders.paper.design/
3,Gradient/Soft,StaticRadialGradient — focal backdrop,"Static radial gradient with focal-point and grain controls. Color slots: colorBack + colors[]. Static. Good behind hero copy where the eye must land on text. GPU cost: unmeasured.","Place the radial focus behind the visual anchor (headline or product shot); keep colorBack within brand neutrals","Don't center the focus on empty space — a radial hotspot that lands nowhere reads as a rendering bug","<StaticRadialGradient colorBack={'#0B0B0E'} colors={['#1E3A34','#D9A441']} />","<StaticRadialGradient /> // default palette, focus ignoring layout",Medium,https://shaders.paper.design/
4,Gradient/Soft,GrainGradient — banding-free soft field,"Soft gradient with film-grain noise that kills gradient banding on large dark areas. Color slots: colorBack + colors[]. Animated (speed). GPU cost: unmeasured.","Use over MeshGradient when the design calls for texture or a dark theme where banding shows; pin speed={0} frame={N} in screenshot tests; gate motion behind prefers-reduced-motion","Don't push grain so strong it reads as compression noise on low-DPI screens","<GrainGradient colorBack={'#0B0B0E'} colors={['#1E3A34','#3E6257']} speed={0.3} />","<GrainGradient /> // default colors, grain fighting body text",Medium,https://shaders.paper.design/
5,Organic/Fluid,Metaballs — liquid blobs,"Organic blobs that merge and split like liquid. Color slots: colorBack + colors[]. Animated (speed). Strong personality — one per page is enough. GPU cost: unmeasured.","Reserve for playful or lab/experimental brand moods; brand tokens in colors[]; deterministic screenshots via speed={0} frame={N}; honor prefers-reduced-motion with speed={0}","Don't run it behind dense UI or forms — blob edges create unpredictable local contrast; don't stack with another animated shader in the same viewport on mobile","<Metaballs colorBack={'#F4EDE4'} colors={['#0E4F4A','#D9A441']} speed={0.5} />","<Metaballs colors={['#7C3AED','#A78BFA']} /> // violet slop palette behind a signup form",Medium,https://shaders.paper.design/
6,Organic/Fluid,SmokeRing — drifting smoke torus,"Ring of slowly drifting smoke. Color slots: colorBack + colors[]. Animated (speed). Calm ambient motion suited to hero sections. GPU cost: unmeasured.","Keep speed low (≤0.5) so it reads as ambient atmosphere not an effect demo; prefers-reduced-motion → speed={0}; pin frame for screenshot tests","Don't place saturated smoke behind small text — soft edges quietly destroy WCAG contrast","<SmokeRing colorBack={'#0B0B0E'} colors={['#3E6257','#D9A441']} speed={0.4} />","<SmokeRing speed={2} /> // fast smoke = distracting screensaver",Medium,https://shaders.paper.design/
7,Organic/Fluid,Swirl — rotating stripe vortex,"Rotating swirl of stripes toward a center. Color slots: colorBack + colors[]. Animated (speed). High visual pull — the eye follows the rotation. GPU cost: unmeasured.","Use only when the swirl center aligns with the layout's focal point; prefers-reduced-motion → speed={0}; pin frame in screenshot tests","Don't use behind reading flows — continuous rotation near paragraphs induces motion discomfort","<Swirl colorBack={'#101014'} colors={['#0E4F4A','#F4EDE4']} speed={0.3} />","<Swirl /> // default colors, vortex center fighting the headline",Medium,https://shaders.paper.design/
8,Organic/Fluid,Warp — distorted color flow,"Warped flowing color field. Color slots: colors[] only. Animated (speed). Fills the whole canvas — there is no colorBack escape hatch, so every color must be brand-correct. GPU cost: unmeasured.","All slots from brand tokens (no neutral fallback exists); prefers-reduced-motion → speed={0}; deterministic screenshots via speed={0} frame={N}","Don't exceed 3-4 colors — warp blends aggressively and extra colors turn to mud","<Warp colors={['#0B0B0E','#1E3A34','#D9A441']} speed={0.4} />","<Warp colors={['#f00','#0f0','#00f','#ff0','#f0f']} /> // color soup after blending",Medium,https://shaders.paper.design/
9,Organic/Fluid,Spiral — hypnotic two-tone,"Two-tone spiral (colorBack + colorFront). Animated (speed). The most attention-grabbing pattern in the set. GPU cost: unmeasured.","Treat as a poster/moment element (404, easter egg, campaign) not a daily-UI background; prefers-reduced-motion → speed={0}","Don't put near vestibular-sensitive contexts (checkout, settings, long reading) — rotation + high contrast is the worst combination for motion sickness","<Spiral colorBack={'#F4EDE4'} colorFront={'#0E4F4A'} speed={0.2} />","<Spiral speed={1.5} /> // spinning behind a payment form",High,https://shaders.paper.design/
10,Organic/Fluid,Voronoi — living cell mosaic,"Animated voronoi cells. Color slots: colors[] + colorGap + colorGlow (+stepsPerColor). Animated (speed). Reads as scientific/organic texture. GPU cost: unmeasured.","Use colorGap as the brand line color to make cells feel designed; prefers-reduced-motion → speed={0}; pin frame in screenshot tests","Don't shrink cells below ~24px behind text — the busy lattice destroys glyph edges","<Voronoi colors={['#1E3A34','#3E6257']} colorGap={'#0B0B0E'} colorGlow={'#D9A441'} speed={0.3} />","<Voronoi /> // default palette, cells too small behind copy",Medium,https://shaders.paper.design/
